st,dem_votes,rep_votes,dem_percent,rep_percent,prop
04,1672143,1661686,0.49,0.49,0.5
12,5297045,5668731,0.48,0.51,0.48
13,2473633,2461854,0.5,0.49,0.51
19,759061,897672,0.45,0.53,0.46
26,2804040,2649852,0.51,0.48,0.52
27,1717077,1484065,0.52,0.45,0.54
32,703486,669890,0.5,0.48,0.51
33,424921,365654,0.53,0.45,0.54
37,2684292,2758775,0.49,0.5,0.49
39,2679165,3154834,0.45,0.53,0.46
42,3458229,3377674,0.5,0.49,0.51
48,5259126,5890347,0.46,0.52,0.47
55,1630866,1610184,0.49,0.49,0.5
01,849624,1441170,0.37,0.62,0.37
02,153778,189951,0.43,0.53,0.45
05,423932,760647,0.35,0.62,0.36
06,11110250,6006429,0.64,0.34,0.65
08,1804352,1364607,0.55,0.42,0.57
09,1080831,714717,0.59,0.39,0.6
10,296268,200603,0.59,0.4,0.6
11,317323,18586,0.92,0.05,0.95
15,366130,196864,0.64,0.34,0.65
16,287021,554119,0.33,0.64,0.34
17,3471915,2446891,0.57,0.41,0.58
18,1242413,1729516,0.41,0.57,0.42
20,570323,771406,0.42,0.56,0.43
21,772474,1326646,0.36,0.62,0.37
22,856034,1255776,0.4,0.58,0.41
23,435072,360737,0.53,0.44,0.55
24,1985023,976414,0.65,0.32,0.67
25,2382202,1167202,0.66,0.32,0.67
28,539508,756789,0.41,0.58,0.41
29,1253014,1718736,0.41,0.57,0.42
30,244786,343602,0.4,0.57,0.41
31,374583,556846,0.39,0.58,0.4
34,2608335,1883274,0.57,0.41,0.58
35,501614,401894,0.54,0.44,0.55
36,5244886,3251997,0.61,0.38,0.62
38,114902,235595,0.32,0.65,0.33
40,503890,1020280,0.32,0.65,0.33
41,1340383,958448,0.56,0.4,0.58
44,307486,199922,0.59,0.39,0.6
45,1091541,1385103,0.43,0.55,0.44
46,150471,261043,0.36,0.62,0.37
47,1143711,1852475,0.38,0.61,0.38
49,560282,865140,0.38,0.58,0.4
50,242820,112704,0.66,0.31,0.68
51,2413568,1962430,0.54,0.44,0.55
53,2369612,1584651,0.58,0.39,0.6
54,235984,545382,0.3,0.69,0.3
56,73491,193559,0.27,0.7,0.28
